Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [2][1900/11269]	Loss 1.3206 (1.4777)	Prec 0.4641
Epoch: [2][2000/11269]	Loss 1.7101 (1.4774)	Prec 0.4955
Epoch: [2][2100/11269]	Loss 1.5610 (1.4779)	Prec 0.4777
Epoch: [2][2200/11269]	Loss 1.6089 (1.4812)	Prec 0.4866
Epoch: [2][2300/11269]	Loss 1.5055 (1.4896)	Prec 0.4734
Epoch: [2][2400/11269]	Loss 1.8018 (1.4962)	Prec 0.4808
Epoch: [2][2500/11269]	Loss 1.7576 (1.5046)	Prec 0.4656
Epoch: [2][2600/11269]	Loss 1.6913 (1.5105)	Prec 0.4736
Epoch: [2][2700/11269]	Loss 1.4740 (1.5146)	Prec 0.4813
Epoch: [2][2800/11269]	Loss 1.7100 (1.5179)	Prec 0.4659
Epoch: [2][2900/11269]	Loss 1.9086 (1.5161)	Prec 0.4906
Epoch: [2][3000/11269]	Loss 1.4945 (1.5130)	Prec 0.4986
Epoch: [2][3100/11269]	Loss 1.7836 (1.5100)	Prec 0.4878
Epoch: [2][3200/11269]	Loss 1.5566 (1.5093)	Prec 0.4770
Epoch: [2][3300/11269]	Loss 1.3533 (1.5066)	Prec 0.4947
Epoch: [2][3400/11269]	Loss 1.3862 (1.5042)	Prec 0.4839
Epoch: [2][3500/11269]	Loss 1.5315 (1.5021)	Prec 0.4938
Epoch: [2][3600/11269]	Loss 1.4379 (1.4995)	Prec 0.4956
Epoch: [2][3700/11269]	Loss 1.4468 (1.4980)	Prec 0.4995
Epoch: [2][3800/11269]	Loss 1.6001 (1.4969)	Prec 0.4905
Epoch: [2][3900/11269]	Loss 1.5662 (1.4957)	Prec 0.4916
Epoch: [2][4000/11269]	Loss 1.3650 (1.4947)	Prec 0.5023
Epoch: [2][4100/11269]	Loss 1.5152 (1.4949)	Prec 0.4794
Epoch: [2][4200/11269]	Loss 1.4614 (1.4942)	Prec 0.5025
Epoch: [2][4300/11269]	Loss 1.5537 (1.4943)	Prec 0.4936
Epoch: [2][4400/11269]	Loss 1.3569 (1.4941)	Prec 0.5044
Epoch: [2][4500/11269]	Loss 1.5998 (1.4944)	Prec 0.5023
Epoch: [2][4600/11269]	Loss 1.6556 (1.4942)	Prec 0.5011
Epoch: [2][4700/11269]	Loss 1.4932 (1.4940)	Prec 0.4986
Epoch: [2][4800/11269]	Loss 1.3189 (1.4932)	Prec 0.5145
